video_id,authorDisplayName,textDisplay
3YeYUoybimM,@marwoto9179,Para Pecinta kucing mana ni buka mata telinganya
3YeYUoybimM,@ValdryanIvandito,"Saya catlover, video ini berhasil mengedukasi &amp; mengubahkan mindset saya, alhasil saya sudah steril 8 ekor kucing di komplek kosan saya."
3YeYUoybimM,@intanrahma2828,Ini konten yang sangat bagus  juga benar sih populasi kucing liar Indonesia makin membludak. Mungkin bagi cat lover sepertiku  akan beropini mengadopsi saja dan begitu dia besar akan aku setirilkan
3YeYUoybimM,@tikaaja789,TAPI HARUS TETAP MEMBERINYA MAKAN JIKA SUDAH TERLALU KELAPARAN SAMPAI BISA MENGANCAM NYAWAA!!🙏
3YeYUoybimM,@jokosutrisno5972,Kucing liar bisa menekan populasi tikus.... Penyakit apa yg bisa disebabkan oleh kucing... Ini channel pembenci kucing!!!
3YeYUoybimM,@sodi4012,"@@jokosutrisno5972 ya kalo Lo kasih makan terus , insting predator dia sebagai pemburu tikus jadi tumpul"
3YeYUoybimM,@jokosutrisno5972,"​@@sodi4012pernah melihara kucing nggak? Bahkan jika kucing kita pelihara dgn istimewa sekalipun, insting berburu kucing masih ada"
3YeYUoybimM,@sodi4012,"​@@jokosutrisno5972itu hanya salah dari banyak masalah yang ditimbulkan, tonton videonya sampe selesai pahami dengan nalar yang sehat, jangan langsung judge ni channel pembenci kucing, padahal nonton pun gada 5 menit"
3YeYUoybimM,@jokosutrisno5972,"​@@sodi4012sdh bro.... Narasi semacam ini banyak bro... Narasi gak masuk akal. Kalo mengaku islam, dia wahabi. Kalo bukan islam, kebanyakan pecinta anjing"
3YeYUoybimM,@M1c_h4hh,"​@@jokosutrisno5972Gak semua kucing yang dipelihara itu insting predatornya akan tetap ada, kalau kucing liar dikasih makan terus, faktor utamanya ya mereka akan manja, atau bahkan insting predatornya akan hampir tidak ada"
3YeYUoybimM,@rintadestiyari6940,"Bener banget lagi, di sekolah gw juga buanyak banget koceng gara2 ada yg ngasih makam 😢"
3YeYUoybimM,@amaliarizki804,Aku   juga  pelihara kucing
3YeYUoybimM,@RamahBETgw,"<a href=""https://www.youtube.com/watch?v=3YeYUoybimM&amp;t=627"">10:27</a> lagi asiknya dengerin cerita malah dengerin ini🗿🤓"
3YeYUoybimM,@MyFair-z3t,"Semoga ngk balik ke diri lo, yang diatas ga ngasih rezeki"
